DEV001,SND006,0.0,11/10/2020 10:53:10 AM
DEV001,SND004,0.0,11/10/2020 10:53:10 AM
DEV001,SND005,0.0,11/10/2020 10:53:11 AM
DEV001,SND015,0.0,11/10/2020 10:53:11 AM
DEV001,SND007,203.6002,11/10/2020 10:53:11 AM
DEV001,SND010,27,11/10/2020 10:53:13 AM
DEV001,SND011,34,11/10/2020 10:53:13 AM
DEV001,SND012,27.75,11/10/2020 10:53:13 AM
DEV001,SND013,0.116813,11/10/2020 10:53:13 AM
DEV001,SND009,0,11/10/2020 10:53:13 AM
DEV001,SND008,27,11/10/2020 10:53:13 AM
DEV001,SND003,0.0,11/10/2020 10:53:14 AM
DEV001,SND001,0.0,11/10/2020 10:53:14 AM
DEV001,SND002,0.0,11/10/2020 10:53:14 AM
DEV001,SND014,0.0,11/10/2020 10:53:14 AM
DEV001,SND006,0.0,11/10/2020 10:53:14 AM
DEV001,SND004,0.0,11/10/2020 10:53:14 AM
DEV001,SND005,0.0,11/10/2020 10:53:14 AM
DEV001,SND015,0.0,11/10/2020 10:53:14 AM
DEV001,SND007,203.6002,11/10/2020 10:53:14 AM
DEV001,SND003,0.0,11/10/2020 10:53:10 AM
DEV001,SND010,0,11/10/2020 10:53:15 AM
DEV001,SND011,0,11/10/2020 10:53:15 AM
DEV001,SND012,27.5,11/10/2020 10:53:15 AM
DEV001,SND002,100,11/10/2020 10:48:46 AM
DEV001,SND008,25,11/10/2020 10:53:16 AM
DEV001,SND010,0,11/10/2020 10:53:17 AM
DEV001,SND011,0,11/10/2020 10:53:17 AM
DEV001,SND009,0,11/10/2020 10:52:58 AM
DEV001,SND013,0.113883,11/10/2020 10:53:18 AM
DEV001,SND003,0.0,11/10/2020 10:53:18 AM
DEV001,SND001,0.0,11/10/2020 10:53:19 AM
DEV001,SND002,0.0,11/10/2020 10:53:19 AM
DEV001,SND014,0.0,11/10/2020 10:53:19 AM
DEV001,SND006,0.0,11/10/2020 10:53:19 AM
DEV001,SND004,0.0,11/10/2020 10:53:19 AM
DEV001,SND005,0.0,11/10/2020 10:53:19 AM
DEV001,SND015,0.0,11/10/2020 10:53:19 AM
DEV001,SND007,203.6002,11/10/2020 10:53:19 AM
DEV001,SND010,0,11/10/2020 10:53:20 AM
DEV001,SND011,0,11/10/2020 10:53:20 AM
DEV001,SND012,27.5,11/10/2020 10:53:20 AM
DEV001,SND013,0.118277,11/10/2020 10:53:20 AM
DEV001,SND009,0,11/10/2020 10:53:20 AM
DEV001,SND008,26,11/10/2020 10:53:21 AM
DEV001,SND010,0,11/10/2020 10:53:21 AM
DEV001,SND011,0,11/10/2020 10:53:22 AM
DEV001,SND012,27.25,11/10/2020 10:53:22 AM
DEV001,SND013,0.115348,11/10/2020 10:53:22 AM
DEV001,SND013,0.116813,11/10/2020 10:53:15 AM
DEV001,SND008,25,11/10/2020 10:53:24 AM
DEV001,SND010,0,11/10/2020 10:53:24 AM
DEV001,SND011,0,11/10/2020 10:53:25 AM
DEV001,SND012,28,11/10/2020 10:53:25 AM
DEV001,SND009,0,11/10/2020 10:53:01 AM
DEV001,SND003,0.0,11/10/2020 10:53:25 AM
DEV001,SND001,0.0,11/10/2020 10:53:25 AM
DEV001,SND002,0.0,11/10/2020 10:53:25 AM
DEV001,SND014,0.0,11/10/2020 10:53:25 AM
DEV001,SND006,0.0,11/10/2020 10:53:25 AM
DEV001,SND004,0.0,11/10/2020 10:53:25 AM
DEV001,SND005,0.0,11/10/2020 10:53:25 AM
DEV001,SND015,0.0,11/10/2020 10:53:25 AM
DEV001,SND007,203.6002,11/10/2020 10:53:25 AM
DEV001,SND009,0,11/10/2020 10:53:26 AM
DEV001,SND008,25,11/10/2020 10:53:26 AM
DEV001,SND010,0,11/10/2020 10:53:26 AM
DEV001,SND011,0,11/10/2020 10:53:26 AM
DEV001,SND012,28,11/10/2020 10:53:26 AM
DEV001,SND013,0.115348,11/10/2020 10:53:26 AM
DEV001,SND009,0,11/10/2020 10:53:28 AM
DEV001,SND008,27,11/10/2020 10:53:28 AM
DEV001,SND010,0,11/10/2020 10:53:29 AM
DEV001,SND009,0,11/10/2020 10:53:16 AM
